headline,description,date
,"Un total de 92 titres sont visés par cette interdiction en France. Cette mesure vise à protéger le cours de certains titres contre les paris à la baisse. Lundi, le régulateur européen a renforcé la transparence sur une pratique accusée d'accélérer les mouvements baissiers.","Focus,Sélection abonnés,Publié le 17 mars à 9h28,Mis à jour le 17 mars à 17h57"
,"Les multiples mesures de soutien budgétaire prises pour contrer les effets de la pandémie de Covid-19 fini par redonner un peu de sérénités aux marchés. Après une nouvelle salve des gouvernements ce mardi, les Bourses mondiales ont retrouvé des couleurs après une séance sous le signe de la fébrilité.","Sélection abonnés,Publié le 17 mars à 8h46,Mis à jour le 17 mars à 18h13"
Coronavirus : les Bourses asiatiques se stabilisent,"Contrastant avec le nouveau plongeon de Wall Street cette nuit, les différentes places asiatiques enrayent, ce mardi, l'hémorragie des derniers jours. Mais les craintes sont loin d'être dissipées. La Bourse de Tokyo a terminé sur une hausse symbolique de 0,06 %.","Publié le 17 mars à 8h07,Mis à jour le 17 mars à 8h08"
Barclays accusé de traquer ses traders,"La banque britannique a choqué ses salariés en utilisant un logiciel de Sapience Analytics visant à surveiller leur productivité. Une démarche qui traduit la pression à laquelle sont soumises les banques d'investissement, confrontées à un recul de leurs revenus.",Publié le 24 févr. à 18h28
Gestion : L'alpha et les « mégas »,La gestion active ne rencontre pas les mêmes handicaps des deux cotés de l'Atlantique.,"Publié le 24 févr. à 16h30,Mis à jour le 24 févr. à 16h43"
,"Les cours de l'or noir décrochent de 4,5 % sur fond d'inquiétude autour de la propagation de coronavirus dans le monde et d'hiver doux. L'alliance entre l'Opep et la Russie montrent des signes de faiblesse.","Sélection abonnés,Publié le 24 févr. à 15h50,Mis à jour le 24 févr. à 17h33"
Coronavirus : les valeurs du transport aérien européen dévissent en Bourse,"Le développement de l'épidémie en Europe et notamment en Italie, risque d'avoir un impact désastreux sur le trafic aérien intra-européen, qui représente la majorité de l'activité des compagnies aériennes du continent. Les acteurs du tourisme sont également dans la tourmente boursière.","Publié le 24 févr. à 13h00,Mis à jour le 24 févr. à 18h59"
Bourse/Valorisations : La Chute,Les valorisations en Bourse sont loin de pouvoir se stabiliser.,Publié le 16 mars à 18h49
"Coronavirus, pandémie inéluctable pour récession inéluctable","Alors que les mesures de confinement contre le coronavirus se profilent en France, pour « La Story », le podcast d'actualité des « Echos », Pierrick Fay et ses invitées reviennent sur la panique baissière des marchés financiers.","Podcast,Publié le 16 mars à 17h10"
"Coronavirus : l'or plonge, une nouvelle fois",Le métal précieux perd près de 5 % ce lundi. L'effondrement des Bourses dans le sillage de la crise du coronavirus oblige les investisseurs à lever du cash en toute urgence. L'or est un actif très liquide.,"Publié le 16 mars à 15h41,Mis à jour le 16 mars à 16h39"
,"L'action concertée de banques centrales, dont la Fed et la Banque centrale européenne, avait déjà été expérimentée lors de la crise des subprimes. Ce type d'intervention empêche l'assèchement du système financier, mais pas la chute des Bourses.","Sélection abonnés,Publié le 16 mars à 13h57,Mis à jour le 16 mars à 17h48"
,"Alors que les places financières multiplient les coupe-circuits face à l'effondrement des marchés, des voix s'élèvent pour fermer les Bourses. Le gendarme des marchés européens exige plus de transparence pour les ventes à découvert.","Sélection abonnés,Publié le 16 mars à 13h56,Mis à jour le 16 mars à 18h40"
,"Ayant déjà dégainé ses outils de politique monétaire, la banque centrale nippone n'a pu annoncer que des initiatives limitées qui n'ont pas convaincu les investisseurs. La Bourse de Tokyo a achevé la séance de ce lundi sur une baisse de 2,5 % de l'indice Nikkei.","Sélection abonnés,Publié le 16 mars à 8h49,Mis à jour le 16 mars à 17h43"
,"La deuxième baisse surprise des taux de la Fed et son engagement à assurer la liquidité mondiale en dollars n'a pas suffi à rassurer les investisseurs. Après avoir perdu plus de 10 %, les Bourses européennes clôturent sur des baisses de 5 à 6 %. La nervosité reste extrême sur les marchés. Le taux français à 10 ans est à nouveau positif.","Sélection abonnés,Publié le 16 mars à 8h43,Mis à jour le 17 mars à 11h13"
La Bourse australienne subit une chute historique,"L'indice ASX 200 a clôturé en baisse de 9,7 % ce lundi, soit le pire recul de son histoire. Depuis fin février, la Bourse australienne a perdu plus de 30 %. Les dernières annonces des banques centrales, notamment américaine et japonaise, n'ont pas permis de rassurer les investisseurs.","En bref,Publié le 16 mars à 8h17,Mis à jour le 16 mars à 17h43"
PIB/Bourse : Gestes barrières pour Wall Street contagieux,"La chute boursière pourrait, à elle seule, compromettre la croissance américaine.",Publié le 15 mars à 18h32
,"L'ensemble des métaux industriels et précieux chutent avec la crise du coronavirus. L'or, traditionnelle valeur refuge, plonge de concert avec les Bourses mondiales et perd du terrain depuis fin janvier.","En chiffres,Sélection abonnés,Publié le 13 mars à 16h12,Mis à jour le 13 mars à 17h43"
Bourse : l'Espagne et l'Italie bannissent la vente à découvert sur des dizaines de titres,Les régulateurs espagnol et italien des marchés financiers ont décidé d'interdire le short selling - la vente à découvert - sur les marchés ce vendredi. L'opération vise à protéger les titres les plus touchés des traders qui voudraient continuer à parier sur leur chute.,"Décryptage,Publié le 13 mars à 14h36,Mis à jour le 13 mars à 18h18"
Opinion | Nous n'éviterons pas le crash économique avec des mesurettes,"La pandémie de Covid-19 a provoqué hier un krach boursier historique. Les réponses de la BCE, annoncées hier, étaient totalement à rebours des attentes des marchés. Celles d'Emmanuel Macron, lors d'une allocution télévisée, purement illusoires. Les explications de l'économiste Jean-Yves Archer.","Tribune,Publié le 13 mars à 9h57,Mis à jour le 13 mars à 11h33"
"Coronavirus : après un jeudi noir, les bourses se reprennent","Après Paris, Londres et Francfort, Wall Street a bondit à la clôture après que Trumpa décrété l'état d'urgence aux Etats-Unis. Mais après la pire journée de leur histoire, la séance est restée particulièrement volatile. Du côté du pétrole, les cours regagnent du terrain. Les places asiatiques ont continué de dévisser.","Publié le 13 mars à 8h45,Mis à jour le 13 mars à 21h47"
Coronavirus : ce qu'il faut retenir de la journée du 13 mars,"La France compte désormais 3.661 cas, et 79 décès. L'Italie a enregistré un nouveau record de 250 décès liés au coronavirus en 24 heures, tandis que Donald Trump a décrété l'état d'urgence aux Etats-Unis.","Publié le 13 mars à 6h39,Mis à jour le 13 mars à 22h38"
Coronavirus : les Bourses d'Asie passent en mode panique,"Comme les places européennes et de Wall Street, l'indice Nikkei de Tokyo a vécu sa pire semaine depuis la crise financière de 2008, perdant 6 % à la clôture. Malgré les progrès sur le front de la lutte contre la pandémie de coronavirus, les Bourses de Chine et de Corée du Sud sont également en déroute.","Publié le 13 mars à 6h11,Mis à jour le 13 mars à 8h24"
Worldline remplace TechnipFMC dans le CAC 40,La société de services parapétroliers TechnipFMC est remplacée par le spécialiste du paiement Worldline.,"Publié le 12 mars à 20h01,Mis à jour le 12 mars à 20h03"
Les marchés intègrent un scénario de récession,"Aux Etats-Unis, les entrées en « bear market » ont quasiment toujours été suivies de périodes de récession. Selon JPMorgan, une probabilité de récession de 80 % est désormais sous-entendue par le prix des actions.","Publié le 12 mars à 19h18,Mis à jour le 13 mars à 8h31"
ADP : Ciel ingrat,ADP repasse sous les 10 milliards d'euros de capitalisation boursière.,"Publié le 12 mars à 19h12,Mis à jour le 12 mars à 19h24"
Bourses Monde/Chine : Garde rouge,Les indices chinois sont les premiers à sortir de la crise boursière grâce aux investisseurs locaux.,Publié le 12 mars à 17h38
Les banques accélèrent leur chute en Bourse après l'annonce de la BCE,"Les banques françaises s'écroulent de plus de 10 % ce jeudi après-midi, après les annonces faites par le superviseur européen. La BCE a décidé de ne pas toucher aux taux, mais elle soulage les établissements financiers de certaines règles prudentielles.","Publié le 12 mars à 15h33,Mis à jour le 12 mars à 19h08"
Coronavirus : le bitcoin et les cryptos emportés par le second krach,"Traditionnellement considérées comme des valeurs refuges, les cryptodevises ne résistent pas à la très forte correction encore subie par les marchés ce mercredi. A mi-séance, le Bloomberg « Galaxy Crypto » cède plus de 25 %, le bitcoin quelque 25 %.","Publié le 12 mars à 14h22,Mis à jour le 12 mars à 18h37"
Le CAC 40 peut largement améliorer son impact social et environnemental,"La société québécoise spécialisée Impak a réalisé une première évaluation de l'impact social et environnemental des sociétés du CAC 40. Avec un score moyen de 222/1000, les marges de progression sont importantes.","En chiffres,Publié le 24 févr. à 12h06,Mis à jour le 24 févr. à 13h47"
,"Journée noire sur les Bourses mondiales. La multiplication des foyers d'infection et la forte augmentation des cas de coronavirus ont fait souffler un vent de panique sur les places financières ce lundi. Les Bourses européennes, en baisse de quelque 4 %, ont toutes terminé la journée dans le rouge.","En chiffres,Sélection abonnés,Publié le 24 févr. à 9h37,Mis à jour le 24 févr. à 19h21"
"Berkshire Hathaway, assureur et propriétaire de l'usine Lubrizol de Rouen","Le conglomérat de Warren Buffett est si large que l'usine Lubrizol de Rouen qui a brûlé l'année dernière était assurée par une autre entité du groupe, a révélé l'oracle d'Omaha dans sa lettre annuelle à ses actionnaires. Berkshire Hathaway, qui croule sous plus de 120 milliards de dollars de cash, a sous-performé la Bourse américaine en 2019.","Publié le 23 févr. à 17h47,Mis à jour le 24 févr. à 10h27"
Coronavirus : l'inquiétude monte d'un cran sur les marchés,"Les principaux indices boursiers ont terminé la semaine dans le rouge, après avoir atteint des sommets historiques. L'attrait pour les valeurs refuges comme les emprunts d'Etat et l'or témoigne de la fébrilité des opérateurs de marché.","Publié le 23 févr. à 16h36,Mis à jour le 24 févr. à 15h39"
Les grandes escroqueries. Du collier de la reine à l'affaire Madoff,Une anthologie des grandes arnaques financières qui ont émaillé l'histoire et défrayé la chronique par leur audace et leur dimension exceptionnelles.,Publié le 21 févr. à 12h29
"Xilam s'attend à une forte croissance, après avoir déçu les investisseurs en 2019","La société spécialisée dans l'animation, derrière « Oggy et les Cafards », espère tirer profit de la demande des plates-formes type Netflix pour qui elle produit de plus en plus. Jeudi, les investisseurs ont sanctionné des revenus au-dessous des attentes. ","Dernière minute,Publié le 21 févr. à 11h29,Mis à jour le 21 févr. à 12h59"
Le coronavirus inquiète de nouveau la Bourse de Paris,"Le CAC 40 a ouvert en baisse ce vendredi, les marchés semblant réévaluer les risques liés à l'épidémie. Le tout alors que de nouveaux cas de contaminations sont à déplorer hors de Chine, et que le ralentissement de l'économie pourrait durer plus longtemps que prévu.",Publié le 21 févr. à 11h16
,"Les firmes de trading quantitatif ultrarapide ont enregistré un repli de leurs revenus en 2019 du fait de la baisse des volumes et de la volatilité. Dans un secteur aux marges faibles, ils poursuivent leur diversification sur de nouveaux marchés, moins concurrentiels mais plus risqués. ","Focus,Sélection abonnés,Publié le 21 févr. à 10h51"
Coronavirus : Renault dans le rouge en Bourse après le report de la réouverture de sites chinois de Nissan,"Le constructeur automobile japonais a annoncé qu'il ne rouvrira finalement pas le 24 février ses deux usines en Chine, situées près de l'épicentre de l'épidémie du coronavirus. Un report qui pénalise son partenaire Renault à la Bourse de Paris ce vendredi.","En bref,Publié le 21 févr. à 10h01"
Schneider Electric : Une excellente tension,La Bourse court après la transformation de Schneider Electric.,Publié le 20 févr. à 19h24
Le CAC 40 ignore le coronavirus et évolue à ses plus hauts niveaux depuis 2007,"Les bourses mondiales ont fortement rebondi depuis début février, alors que les entreprises, elles, commencent à chiffrer les conséquences du virus sur leur activité. Les analystes mettent en garde contre une certaine complaisance des marchés actions. ",Publié le 20 févr. à 13h35
Jeux vidéo : le troisième éditeur français veut lever plus de 100 millions d'euros en Bourse,"Le groupe Bigben Interactive a levé le voile sur la fourchette du prix d'introduction de Nacon, une nouvelle société regroupant toutes ses activités dans le jeu vidéo. L'entrée en Bourse est prévue pour le 10 mars.","Publié le 20 févr. à 10h46,Mis à jour le 20 févr. à 14h21"
Le Nasdaq à un niveau historique malgré l'avertissement d'Apple,"Les déboires d'Apple ont épargné les quatre autres « FAANG » : Facebook, Amazon, Netflix et Alphabet. Déjà très bien valorisées, ces stars de la cote sont désormais considérées comme des valeurs refuges par les investisseurs.","Publié le 19 févr. à 12h33,Mis à jour le 19 févr. à 14h59"
Pourquoi Virgin Galactic s'envole en Bourse,"La compagnie aérospatiale a vu son action grimper de plus de 400 % en quelques mois. La société de Richard Branson, la première du secteur du tourisme spatial à être entrée en Bourse en octobre 2019, profite de la « hype » pour les voyages dans l'espace.","Publié le 19 févr. à 7h35,Mis à jour le 19 févr. à 8h40"
Euroclear enregistre une nouvelle année record,"Le spécialiste du post-marché a vu ses bénéfices bondir de 34 % en 2019, portés notamment par les taux américains et une augmentation des actifs conservés. Mais il est resté discret sur ses projets en matière de recomposition du capital.","Publié le 18 févr. à 18h07,Mis à jour le 18 févr. à 18h34"
Coronavirus : l'avertissement d'Apple entame le moral des investisseurs,L'avertissement d'Apple sur son chiffre d'affaires au premier trimestre 2020 a rappelé aux investisseurs que l'épidémie de coronavirus risquait d'avoir des conséquences très concrètes sur les résultats des entreprises.,"Publié le 18 févr. à 11h52,Mis à jour le 18 févr. à 19h04"
Des indices en constante évolution,"Investisseurs, gérants, fournisseurs d'indices et entreprises jouent tous un rôle dans le développement d'indices boursiers ESG plus sophistiqués.",Publié le 18 févr. à 10h06
Les dividendes mondiaux ont doublé en 10 ans,"Les dividendes versés à l'échelle internationale ont atteint un nouveau record en 2019, à 1.425 milliards de dollars. De nouveaux records annuels ont été établis aux Etats-Unis, au Canada, au Japon, en Russie et en France.","En chiffres,Publié le 17 févr. à 18h13"
L'académie américaine des traders suspectée de fraude et tromperies,"« Online Trading Academy », une des principales sociétés américaines de formation pour les traders, est attaquée en justice par la Commission fédérale du commerce. Elle l'accuse d'avoir menti sur les rendements que pouvaient espérer les apprentis traders qui payaient cher ses conseils.","Récit,Publié le 17 févr. à 13h01"
Notation : Fitch Ratings à la conquête de la Chine,L'agence américaine devrait obtenir d'ici peu sa licence pour pouvoir noter les obligations chinoises à destination du marché domestique. Un débouché stratégique pour les acteurs de la notation.,"Publié le 17 févr. à 9h43,Mis à jour le 17 févr. à 19h17"
,"Comme pour les conseils d'administration, l'Etat réfléchit à mettre en place des quotas de femmes dans les comités de direction, lieu du pouvoir par excellence. Les organisations patronales, Afep et Medef, militent pour des quotas volontaires, que les entreprises se fixeraient à elles-mêmes. Les femmes représentent moins de 20 % des effectifs dans les comités exécutifs au sein du CAC 40, contre 7 % en 2009.","Analyse,Sélection abonnés,Publié le 17 févr. à 6h38,Mis à jour le 17 févr. à 10h13"
,"L'éviction chaotique d'Isabelle Kocher de la direction générale d'Engie a braqué les projecteurs sur la féminisation des états-majors des grandes entreprises françaises cotées. A croire les grands chasseurs de têtes parisiens, une série de dirigeantes sont en piste pour un trône. Voici une sélection forcément non exhaustive.","Portrait,Sélection abonnés,Publié le 17 févr. à 6h15,Mis à jour le 17 févr. à 10h45"
,"Isabelle Kocher évincée d'Engie, plus aucune femme n'est à la tête de l'une des quarante plus grandes entreprises françaises cotées. Une anomalie qui s'explique et qui pourrait se corriger dans les prochaines années, affirment les principaux chasseurs de têtes parisiens.","Enquête,Sélection abonnés,Publié le 17 févr. à 6h01,Mis à jour le 17 févr. à 10h38"
EDF affiche son optimisme après des résultats en hausse,"L'action de l'électricité a décollé en Bourse vendredi, après l'annonce de résultats en forte hausse. Son PDG, Jean-Bernard Lévy, compte sur la nouvelle régulation du nucléaire pour pouvoir accélérer ses investissements.","Décryptage,Publié le 16 févr. à 8h51"
Nissan sanctionné à la Bourse de Tokyo après la publication de ses résultats,"Le constructeur automobile japonais a publié jeudi une perte nette sur un trimestre, sa première depuis 2009 et la crise financière, et a indiqué qu'il ne verserait pas de dividende cette année. A la clôture des marchés nippons ce vendredi, le titre a accusé un recul de 9,6 %.","En bref,Publié le 14 févr. à 9h33"
Assurance-vie : cinq conseils pour une diversification gagnante,"Poussés par leurs conseillers de clientèle à davantage diversifier leur assurance-vie pour mieux la rentabiliser au long cours, les épargnants qui ont vu l'an dernier le CAC 40 flamber à +26 % ont a priori toutes les raisons d'injecter une part plus importante d'UC dans leur contrat. Mais, on le sait, investir aveuglément au son du violon n'est pas toujours la meilleure des stratégies !",Publié le 14 févr. à 9h00
EDF alimenté par la croissance des énergies renouvelables,"Le bénéfice net de l'électricien français a été multiplié par plus de quatre en 2019. Il atteint 5,2 milliards d'euros, contre 1,2 milliard un an auparavant. Il bénéficie notamment de conditions de prix plus favorables en France et au Royaume-Uni. L'action bondit de plus de 8 % en Bourse.","Résultats,Publié le 14 févr. à 8h50,Mis à jour le 16 févr. à 15h47"
"Kraft-Heinz, Pepsico : les emblèmes de l'alimentation made in USA en souffrance","Kraft-Heinz s'est encore effondré en Bourse jeudi, après la publication de résultats décevants et la dépréciation des cafés Maxwell. Son patron mise sur un nouveau plan de relance. Chez PepsiCo, dopé par des investissements en marketing et la perspective de nouvelles gammes, les incertitudes demeurent. ","Résultats,Publié le 14 févr. à 7h30"
Universal Music en route vers la Bourse,"La filiale musique qui tire plus que jamais les résultats de Vivendi pourrait être cotée « au plus tard début 2023 ».La branche française de Groupe Canal a recommencé à croître au quatrième trimestre. Editis, consolidé pour la première fois a bénéficié de la réforme des programmes de lycée.","Publié le 13 févr. à 18h48,Mis à jour le 14 févr. à 14h12"
Airbus : Le ciel au-dessus de leurs têtes,La Bourse ne valorise pas dans Airbus le potentiel du marché des avions monocouloirs.,"Publié le 13 févr. à 16h48,Mis à jour le 13 févr. à 16h49"
Affaire Epstein : le PDG de Barclays visé par une enquête du régulateur britannique,"Le Financial Conduct Authority cherche à faire la lumière sur les relations d'affaires entre le patron de la banque britannique Jes Staley et le financier américain et prédateur sexuel qui s'est suicidé en août dernier. Le titre chute en Bourse, malgré le soutien du conseil d'administration au dirigeant.","Publié le 13 févr. à 11h08,Mis à jour le 13 févr. à 16h42"
Orange avance sur une ligne de crête,"L'opérateur télécoms a enregistré une légère croissance de ses revenus en 2019, à 42 milliards d'euros. Dans le même temps, les investissements dans les réseaux (fibre, 4G et 5G) continuent d'augmenter. La Bourse, elle, fait grise mine.","Résultats,Publié le 13 févr. à 9h17,Mis à jour le 13 févr. à 19h32"
"Face au coronavirus, trois placements refuges pour votre épargne",La correction entamée fin février a dégénéré  en krach faisant plonger avec violence l'ensemble des places boursières. Quelles sont les alternatives aux placements en actions ? Zoom sur trois valeurs refuges déconnectés des marchés financiers.,"Publié le 12 mars à 12h22,Mis à jour le 13 mars à 8h35"
"Boeing s'effondre en Bourse, au plus bas depuis près de trois ans","Les investisseurs s'inquiètent de la décision du constructeur américain d'utiliser en une seule fois, dès cette semaine, une ligne de crédit de 13,8 milliards de dollars. Ce, alors même que son endettement a doublé l'an passé et que la crise du 737 MAX et l'épidémie de coronavirus pénalisent chaque jour un peu plus le secteur aérien.",Publié le 12 mars à 9h33
"Coronavirus : de Paris à New York, les Bourses essuient des chutes historiques","Les annonces de la BCE n'ont clairement pas convaincu les investisseurs. Les Bourses européennes encaissent le second krach de la semaine, à l'ampleur encore supérieure. Le CAC 40 a clôturé en chute de 12,28 %, un record historique. Aux Etats-Unis, Wall Street a perdu près de 10 %, sa pire séance depuis le krach de 1987.","Publié le 12 mars à 9h23,Mis à jour le 12 mars à 21h56"
Coronavirus : ce qu'il faut retenir de la journée du 12 mars,"Après une journée noire sur les places financières mondiales, Emmanuel Macron s'est exprimé depuis l'Elysée et a annoncé plusieurs mesures dont la fermeture de tous les établissements scolaires. Le dernier bilan en date de l'épidémie de coronavirus en France fait état de 61 morts, contre 48 mercredi, pour 2.876 contaminations.","Publié le 12 mars à 8h46,Mis à jour le 12 mars à 22h35"
Coronavirus : les Bourses asiatiques rechutent après la déclaration de pandémie et la volte-face de Trump,"Les places de Tokyo, Shanghai, Séoul ou encore Hong Kong ont replongé dans le rouge ce jeudi. Les traders ont été surpris par les dernières mesures du président américain. Il va interdire, à compter de vendredi, aux ressortissants de 26 pays européens de se rendre aux Etats-Unis, pour une durée de 30 jours.","Publié le 12 mars à 6h48,Mis à jour le 12 mars à 13h29"
Opinion | Cet autre virus qui agite les marchés,"Il n'y a pas que le coronavirus qui donne des sueurs froides aux places boursières. La stratégie d'investissement dite à « volatilité cible », que l'on observe en ces temps mouvementés, a toutes les apparences d'un virus, écrit Denis Alexandre.","Tribune,Publié le 12 mars à 6h15"
Coronavirus : les investisseurs individuels dans la tourmente du krach boursier,"Les petits porteurs sont généralement les premières victimes de krach. Que faire alors que la Bourse n'arrive toujours pas à relever la tête ? Les conseils de Charles-Henri d'Auvigny, président de la F2IC.","Publié le 11 mars à 20h17,Mis à jour le 12 mars à 9h30"
Bourse/SBF 120 : K.O dans le chaos,La déroute boursière s'est faite dans le plus grand désordre.,"Publié le 11 mars à 19h28,Mis à jour le 11 mars à 19h29"
Gaumont déprécie ses films et séries sur fond de possible retrait de la Bourse,"La société a creusé ses pertes en 2019 malgré une hausse de ses revenus. Elle invoque un durcissement des conditions de vente du catalogue, mais des actionnaires minoritaires la soupçonnent de mettre son cours sous pression avant de déclencher un retrait de la cote.",Publié le 11 mars à 17h45
Coronavirus : à partir de quel moment peut-on parler de « krach » ?,"Des cours du pétrole en chute libre, des Bourses mondiales dans le rouge vif, les banques européennes frappées de plein fouet : la séquence actuelle est à marquer d'une pierre blanche sur les marchés financiers. L'emploi du terme « krach » fait pourtant débat. Anatomie d'un terme né en 1873 mais aux contours encore incertains.","Décryptage,Publié le 11 mars à 16h46,Mis à jour le 12 mars à 19h11"
Natixis à nouveau chahuté en Bourse à cause de sa filiale H2O,"La filiale de BPCE a accusé une forte baisse en Bourse mercredi, alors que les autres banques françaises rebondissaient nettement. Les contre-performances subies par certains fonds de sa filiale H2O AM expliquent ce recul.","Décryptage,Publié le 11 mars à 13h52,Mis à jour le 11 mars à 19h49"
"Coronavirus : les Bourses européennes dans le rouge, Wall Street s'enfonce","Wall Street perdait près de 6 % à la clôture, tandis que la Bourse de Paris fermait en repli de 0,57 %. La baisse des taux par la Banque d'Angleterre n'a pas suffi à rassurer les investisseurs. Ceux-ci attendent des mesures coordonnées pour endiguer le début de crise économique, ainsi que des annonces fortes de la BCE ce jeudi.","Publié le 11 mars à 9h42,Mis à jour le 11 mars à 21h37"
Marchés : Un sentiment de déjà vu,La correction boursière nécessiterait une forte révision des bénéfices pour s'aggraver.,Publié le 10 mars à 17h28
"Après une séance noire, Wall Street rebondit","Portées par le rebond du pétrole qui progressait de plus de 8 % ce mardi, les places financières mondiales ont repris des couleurs en début de journée, avant de sombrer dans le rouge. Wall Street a rebondi, après une journée noire, sur l'espoir de mesures de soutien économique aux Etats-Unis pour faire face à l'impact du coronavirus.","Publié le 10 mars à 9h21,Mis à jour le 10 mars à 22h34"
"Après un lundi noir, les marchés financiers asiatiques reprennent leur souffle","Alors que le coronavirus et les tensions russo-saoudiennes sur la production de pétrole ont fait souffler un vent de panique lundi sur les marchés financiers, les grandes places boursières en Asie-Pacifique sont orientées à la hausse ce mardi. Les prix de l'or noir remontent.","Publié le 10 mars à 8h21,Mis à jour le 10 mars à 9h52"
Virus : les vertus thérapeutiques de la photo de famille,Seule une action forte et coordonnée des grandes puissances pourra calmer les investisseurs. ,"Édito,Publié le 9 mars à 19h44,Mis à jour le 10 mars à 7h22"
Coronavirus : 25 morts et 286 nouveaux cas confirmés en France,Le bilan de ce lundi fait état de 1.412 cas confirmés au total. Toutes les régions métropolitaines sont touchées. La Corse est l'un des nouveaux clusters avec 38 cas. La France reste pour l'instant au stade 2 de l'état d'alerte.,"Publié le 9 mars à 19h30,Mis à jour le 10 mars à 8h02"
Baisse en trompe-l'oeil des bénéfices de la FDJ en 2019,"La Française des Jeux a enregistré un profit net part du groupe de 133 millions d'euros l'an dernier, contre 170 millions en 2018, en raison de charges exceptionnelles, en premier lieu celle liée à sa mise en Bourse. Pour autant, l'ex-opérateur public de jeux d'argent, privatisé courant novembre, confirme être en pleine forme.","Résultats,Publié le 13 févr. à 8h19,Mis à jour le 18 févr. à 8h36"
Le gérant Allianz GI vigilant sur les rémunérations des patrons,"Le gérant allemand a publié un rapport sur sa politique de vote mondiale en 2019. Lors des assemblées générales, il a voté une fois sur deux contre une résolution portant sur la rémunération du dirigeant.",Publié le 13 févr. à 7h01
Euronext porté par l'intégration de la Bourse d'Oslo,"La bourse paneuropéenne a vu ses bénéfices augmenter de 2,8 % l'an dernier à 222 millions d'euros, largement soutenue par l'intégration de la Bourse d'Oslo.","Résultats,Publié le 12 févr. à 19h18,Mis à jour le 12 févr. à 19h57"
,"Depuis deux ans, l'analyse financière, essentielle au bon fonctionnement des marchés, est à l'agonie, percutée de plein fouet par la nouvelle réglementation européenne. L'AMF a décidé de voler au secours de cette activité et proposé un plan d'action. Le Brexit pourrait lui faciliter la tâche.","Analyse,Sélection abonnés,Publié le 12 févr. à 12h00,Mis à jour le 12 févr. à 15h00"
Un démarrage encourageant pour les sociétés entrées en Bourse en 2019,"Les huit introductions en Bourse de 2019 semblent avoir été valorisées plus raisonnablement que par le passé. Au-delà des IPO de la Française des Jeux et de Verallia, les petites et moyennes capitalisations affichent des performances contrastées : trois opérations sur six sont dans le rouge.","Publié le 11 févr. à 13h10,Mis à jour le 17 févr. à 11h16"
"Criteo, en décroissance, pour la première fois depuis son entrée en Bourse","Le chiffre d'affaires du spécialiste français du ciblage publicitaire a baissé de 2 % et son Ebitda de 7 % en 2019, une première depuis son IPO en 2013, selon les résultats annuels publiés ce mardi. Criteo est pénalisé par le tour de vis d'une partie croissante de l'écosystème sur l'exploitation des cookies.","Résultats,Publié le 11 févr. à 13h00,Mis à jour le 11 févr. à 19h37"
,"Popularisées par Bernard Madoff, les pertes causées par les pyramides de Ponzi ont doublé aux Etats-Unis en 2019. Ces escroqueries ont profité du regain d'optimisme dans l'économie et sur tous les marchés. Les crypto-monnaies et bitcoin ont connu quelques fraudes mondiales massives. ","Focus,Sélection abonnés,Publié le 11 févr. à 11h36,Mis à jour le 11 févr. à 14h26"
Pourquoi les introductions en Bourse de PME sont si décevantes,La performance moyenne des 101 sociétés introduites en Bourse depuis 2014 ressort à -33 %. Et seulement 13 % des nouvelles venues sur le marché dont la capitalisation est inférieure à 1 milliard d'euros sont dans le vert depuis leur cotation.,"Publié le 11 févr. à 8h00,Mis à jour le 17 févr. à 11h18"
Les Américains voient leur avenir financier en rose,"Près des trois quarts des personnes interrogées par l'institut de sondage Gallup anticipent une amélioration de leur situation financière à l'horizon d'un an. Un niveau record depuis le début de cette enquête en 1977. Il traduit l'amélioration continue du marché de l'emploi aux Etats-Unis et les records de la Bourse, estime Gallup. Comme au moment de la bulle internet, il y a vingt ans.","Le buzz des États-Unis,Publié le 11 févr. à 6h14"
,"Seulement 10 % des dirigeants actuels des entreprises du CAC 40 sont passés par l'Ecole nationale d'administration, contre 25 % il y a dix ans. L'X ou HEC comptent aujourd'hui plus d'anciens élèves parmi les grands patrons que l'ENA. ","Sélection abonnés,Publié le 10 févr. à 13h08,Mis à jour le 11 févr. à 10h32"
Un ancien « super flic » de Wall Street devant des juges français,"Mis en cause par l'Autorité des marchés financiers, Elliott, le célèbre fonds activiste, a dépêché Richard Zabel, son directeur juridique, à Paris. L'homme fut le lieutenant de l'inflexible procureur de Manhattan. Il a fait trembler les criminels en col blanc, dont le financier Steve Cohen.","Publié le 8 févr. à 10h15,Mis à jour le 9 févr. à 14h37"
Coronavirus : timide rebond à Wall Street,"Si les investisseurs veulent croire à un plateau prochain de l'épidémie, le nombre de décès bat des records à plusieurs endroits dans le monde. En outre, les ministres des Finances de l'Eurogroupe ne sont pas parvenus à se mettre d'accord cette nuit sur des mesures communes pour assurer la reprise à l'échelle européenne.","Publié le 8 avr. à 11h17,Mis à jour le 8 avr. à 18h36"
Marchés / Bourse : Crise de « Despentisme »,Trois chocs tentent de provoquer une dislocation parfaite des marchés financiers.,Publié le 9 mars à 19h08
Pourquoi le coronavirus contamine la Bourse,"La panique gagne les places financières mondiales alors que le coronavirus se propage. Pour « La Story », le podcast d'actualité des « Echos », Pierrick Fay et ses invités décryptent les mécanismes et les raisons d'un possible krach boursier.","Podcast,Publié le 9 mars à 16h56"
